display_name,centroid_lat,centroid_long,radius
Stroud,51.736451,-2.207860,5.839183
Newark,53.115472,-0.853341,13.549946
Dumfries,55.069427,-3.616800,13.598766
Burgess Hill,50.957450,-0.132163,1.745370
Accrington,53.754267,-2.373159,3.158004
Cramond,55.971681,-3.303783,0.830000
Plaistow,51.528435,0.025600,1.195000
Childwall,53.396539,-2.893418,2.029000
Dunmurry,54.556648,-6.015721,1.854000
Danescourt,51.502578,-3.239042,0.528000
Hyndland,55.877726,-4.308218,0.713000
Limehouse,51.512370,-0.034406,1.556000
Acton,51.508333,-0.265266,2.195000
Govanhill,55.836548,-4.260837,0.804000
Harehills,53.810909,-1.513273,1.164000
Byres Road,55.873581,-4.295493,0.406000
Broomhouse,55.927672,-3.279462,0.522000
Barnes,51.469125,-0.245564,1.205000
West Heath,52.397386,-1.958686,0.871000
Kingstanding,52.546196,-1.879684,1.505000
Caerau,51.471808,-3.246954,1.117000
Lockleaze,51.489867,-2.564954,0.456000
Bexley,51.456923,0.140653,2.573000
Muirhead,55.902069,-4.107038,0.858000
Govan,55.859345,-4.317563,1.339000
Northenden,53.405920,-2.256928,0.661000
Bristol City Centre,51.455989,-2.592384,1.314000
Hotwells,51.449816,-2.618790,0.537000
Sharston,53.392883,-2.256698,0.611000
Yardley,52.464788,-1.815341,2.092000
Lenton Abbey,52.935845,-1.211689,0.251000
Barrhead,55.800395,-4.391004,1.355000
Sydenham,51.426868,-0.052969,1.198000
Comely Bank,55.957813,-3.219237,0.400000
Oldbury,52.487016,-2.011855,4.207000
Pontcanna,51.484744,-3.198613,0.719000
Upton Park,51.533935,0.036993,0.961000
Bradley Stoke,51.534451,-2.552277,1.802000
Morden,51.392822,-0.195425,1.726000
Currie,55.897535,-3.311474,1.570000
Charing Cross,55.866219,-4.272617,0.407000
Southall,51.508660,-0.377129,1.410000
Nechells,52.493293,-1.872108,1.187000
Heath,51.503713,-3.190474,1.570000
Splott,51.483499,-3.152733,0.865000
Saughton,55.930483,-3.267756,0.517000
Duddingston,55.943281,-3.125526,1.688000
Canton,51.482149,-3.205661,1.476000
Sidcup,51.433093,0.103004,1.622000
Meadowbank,55.955794,-3.158353,1.260000
Bothwell,55.805212,-4.068149,0.783000
Tividale,52.509257,-2.048276,1.113000
Maindy,51.497070,-3.191718,0.441000
Southville,51.441194,-2.606645,0.884000
Billesley,52.424762,-1.867563,0.566000
Levenshulme,53.444110,-2.189987,1.095000
Pudsey,53.800531,-1.665437,2.777000
Brick Lane,51.520494,-0.063535,0.885000
Botanic,54.585454,-5.929157,0.501000
Tooting Broadway,51.424941,-0.163465,0.975000
Morley,53.747199,-1.597814,1.965000
Windmill Hill,51.437298,-2.592255,0.275000
Edmonton,51.621154,-0.061153,1.648000
Leeds,53.808019,-1.541784,25.768000
Sea Mills,51.487754,-2.646831,0.767000
Oxford Road,53.465550,-2.234372,0.955000
Chapel Allerton,53.825749,-1.534327,1.349000
Croftfoot,55.812982,-4.232833,0.982000
Paisley,55.840406,-4.428698,4.134000
Southside,55.943244,-3.182162,0.580000
Wallasey,53.422009,-3.043626,2.130000
Kings Norton,52.407064,-1.932730,3.043000
Gloucester Road,51.473892,-2.589328,1.606000
Enfield,51.647538,-0.069821,3.379000
Old Town,55.947990,-3.187907,0.879000
Trinity,55.975632,-3.201751,1.600000
Sparkbrook,52.458721,-1.870769,0.880000
Gloucester,51.858146,-2.236449,15.199000
Whiteladies Road,51.465547,-2.610878,0.562000
Peckham,51.471610,-0.067469,1.202000
Bromley,51.405256,0.015748,4.669000
Easton,51.464176,-2.564121,0.884000
Atlantic Wharf,51.472532,-3.165826,0.185000
Kinning Park,55.852380,-4.285460,0.657000
East Croydon,51.375836,-0.089750,1.471000
Leckwith,51.473109,-3.201622,0.930000
Kingsknowe,55.917839,-3.263186,0.300000
Marshfield,51.532034,-3.066802,0.566000
Shoreditch,51.528306,-0.073691,1.309000
Radford,52.959655,-1.172073,0.726000
Newhaven,55.976941,-3.189905,0.673000
Bestwood,52.993340,-1.168645,0.511000
Barnton,55.960457,-3.301703,1.382000
North London,51.601942,-0.108871,9.910000
Bath,51.373437,-2.371458,10.195000
New Brighton,53.433426,-3.040202,0.761000
Jordanhill,55.881506,-4.331721,1.294000
Mosspark,55.841266,-4.328649,0.729000
Leicester,52.625621,-1.142292,23.048000
Brentry,51.509271,-2.607433,1.103000
Southfields,51.445862,-0.203636,1.283000
Smiths Wood,52.502456,-1.747064,1.064000
Beeston,52.927760,-1.210340,1.344000
Balgreen,55.938843,-3.252548,0.719000
Failsworth,53.505166,-2.159878,1.661000
Bakersfield,52.959349,-1.110216,0.802000
Beckton,51.518465,0.051766,1.482000
St Andrews,51.469812,-2.588111,0.723000
Didsbury,53.422331,-2.230742,1.825000
Bournemouth,50.739173,-1.865246,8.530000
Finaghy,54.558756,-5.981144,1.004000
Townhead,55.865189,-4.243059,0.228000
Glasgow Green,55.848469,-4.231048,0.565000
Broxtowe,52.977655,-1.214638,0.511000
